Pos,ID,Name,BV,SV,Team,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts
D,1,Cédric,4.4,4.4,Arsenal,3,0.11,6,0.23,5,0.21,9,0.32,6,0.27
G,2,Leno,4.5,4.5,Fulham,34,1.35,54,1.89,73,2.84,86,2.98,75,2.67
M,3,Xhaka,5.0,5.0,Arsenal,78,3.06,73,3.15,66,2.68,68,2.35,74,3.10
M,4,Elneny,4.5,4.5,Arsenal,7,0.32,5,0.21,14,0.56,9,0.33,8,0.34
D,5,Holding,4.4,4.4,Arsenal,7,0.27,8,0.35,5,0.21,5,0.16,4,0.15
M,6,Partey,5.0,5.0,Arsenal,82,2.90,82,3.13,76,2.75,72,2.29,76,2.87
M,7,Ødegaard,6.5,6.5,Arsenal,70,3.38,72,3.88,68,3.43,71,2.99,72,3.69
D,8,Tierney,5.0,5.0,Arsenal,28,1.42,53,2.87,57,2.80,51,1.87,41,2.19
M,9,Pépé,5.4,5.4,Arsenal,10,0.73,6,0.47,8,0.59,13,0.79,12,0.94
D,10,White,4.5,4.5,Arsenal,71,3.00,67,3.14,59,2.52,65,2.05,66,2.99
F,11,Nketiah,6.9,6.9,Arsenal,34,2.08,32,2.29,24,1.68,26,1.50,32,2.25
M,12,Smith Rowe,5.9,5.9,Arsenal,18,1.28,18,1.33,21,1.43,25,1.44,28,1.91
M,13,Saka,8.0,8.0,Arsenal,76,4.82,77,5.50,74,4.88,74,3.96,72,4.92
D,14,Tomiyasu,4.4,4.4,Arsenal,41,1.96,54,2.80,69,3.27,70,2.44,68,3.43
G,15,Ramsdale,5.0,5.0,Arsenal,89,3.84,89,4.07,87,3.77,84,3.23,83,3.77
D,16,Gabriel,5.0,5.0,Arsenal,82,4.17,77,4.44,73,3.80,69,2.66,72,4.01
D,17,Tavares,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,18,Sambi,4.5,4.5,Arsenal,8,0.38,8,0.38,7,0.33,5,0.20,7,0.34
M,19,Martinelli,6.2,6.1,Arsenal,75,4.47,74,4.99,73,4.62,70,3.63,69,4.54
D,20,Pablo Marí,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,21,Maitland-Niles,4.9,4.9,Arsenal,2,0.16,1,0.09,0,0.02,2,0.12,2,0.17
M,22,Torreira,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,23,Nelson,5.0,5.0,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,24,Turner,4.0,4.0,Arsenal,2,0.07,1,0.03,2,0.07,5,0.19,5,0.24
M,25,Fábio Vieira,5.9,5.9,Arsenal,5,0.32,6,0.40,17,1.06,18,0.92,19,1.19
D,26,Saliba,4.5,4.5,Arsenal,77,3.45,70,3.49,69,3.15,64,2.16,65,3.15
M,27,Marquinhos,4.9,4.9,Arsenal,1,0.09,1,0.09,1,0.05,1,0.07,0,0.02
F,28,Jesus,8.0,8.0,Arsenal,80,4.95,77,5.32,76,4.93,76,4.01,75,4.96
M,29,Coutinho,7.0,7.0,Aston Villa,45,2.27,64,3.46,61,2.65,62,2.59,63,3.02
F,30,Ings,7.0,7.0,Aston Villa,57,3.21,52,3.32,46,2.34,42,2.11,45,2.53
G,31,Martínez,5.0,5.0,Aston Villa,90,3.39,87,3.43,86,2.95,85,2.90,84,3.05
D,32,Chambers,4.5,4.5,Aston Villa,25,0.83,16,0.58,16,0.42,8,0.18,12,0.38
D,33,Digne,5.0,5.0,Aston Villa,84,2.89,77,3.13,79,2.02,77,1.73,70,2.27
M,34,Traoré,5.0,5.0,Aston Villa,5,0.37,8,0.59,9,0.53,10,0.56,10,0.62
G,35,Olsen,4.0,4.0,Aston Villa,0,0.01,3,0.10,5,0.16,5,0.16,6,0.22
M,36,Sanson,4.5,4.5,Aston Villa,6,0.31,7,0.37,9,0.43,8,0.37,8,0.38
M,37,McGinn,5.5,5.5,Aston Villa,79,2.44,77,2.55,70,2.01,76,2.08,74,2.23
D,38,Hause,4.4,4.4,Aston Villa,0,0.00,1,0.02,1,0.03,5,0.14,4,0.14
D,39,Mings,4.5,4.5,Aston Villa,78,2.38,72,2.52,70,1.58,59,1.16,54,1.52
F,40,Watkins,7.4,7.4,Aston Villa,82,3.77,85,4.37,79,3.18,81,3.13,77,3.47
M,41,Nakamba,4.5,4.5,Aston Villa,6,0.28,4,0.24,10,0.43,9,0.41,8,0.35
M,42,Buendía,6.0,6.0,Aston Villa,39,1.76,36,1.74,38,1.54,39,1.51,40,1.73
D,43,Cash,5.0,5.0,Aston Villa,67,2.16,77,2.89,80,1.91,84,1.68,79,2.34
D,44,Konsa,4.5,4.5,Aston Villa,76,2.43,44,1.69,37,0.99,35,0.83,36,1.15
M,45,Bailey,5.0,5.0,Aston Villa,44,2.10,36,1.93,39,1.69,40,1.69,38,1.81
M,46,Douglas Luiz,4.9,4.9,Aston Villa,30,1.06,26,1.00,34,1.12,33,1.05,29,1.03
M,47,Ramsey,5.5,5.5,Aston Villa,54,2.06,54,2.18,43,1.57,47,1.64,52,1.92
M,48,Chukwuemeka,4.5,4.5,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,49,Iroegbunam,4.5,4.5,Aston Villa,1,0.03,0,0.01,1,0.05,2,0.09,3,0.15
